MsgID.STATE,1527348119.8947570,False,False
MsgID.LOCAL_VELOCITY,1527348132.0110087,4.6600000,2.3600000,-0.0600000
MsgID.LOCAL_POSITION,1527348132.0113118,22.8650570,10.2898760,-4.9584861
MsgID.LOCAL_VELOCITY,1527348132.0113118,4.6308799,2.3432937,-0.0567113
MsgID.GLOBAL_POSITION,1527348132.2239759,-122.3973333,37.7926946,4.9500000
MsgID.LOCAL_VELOCITY,1527348132.2239759,3.4200000,1.8400000,-0.0600000
MsgID.LOCAL_POSITION,1527348132.2279677,23.8476486,10.6913128,-4.9503913
MsgID.LOCAL_VELOCITY,1527348132.2279677,3.2944024,1.7916811,-0.0675470
MsgID.GLOBAL_POSITION,1527348132.4742081,-122.3973276,37.7926996,4.9500000
MsgID.LOCAL_VELOCITY,1527348132.4742081,2.5800000,1.5900000,-0.1200000
MsgID.LOCAL_POSITION,1527348132.5150149,24.3560123,11.1733847,-4.9509411
MsgID.LOCAL_VELOCITY,1527348132.5150149,2.5877056,1.5900099,-0.1286438
MsgID.GLOBAL_POSITION,1527348132.7239571,-122.3973215,37.7927068,4.9550000
MsgID.LOCAL_VELOCITY,1527348132.7239571,3.8800000,1.8800000,-0.1400000
MsgID.LOCAL_POSITION,1527348132.7279563,25.1548653,11.7106924,-4.9553552
MsgID.LOCAL_VELOCITY,1527348132.7279563,3.8807311,1.8811766,-0.1453547
MsgID.STATE,1527348132.9653072,True,True
MsgID.GLOBAL_HOME,1527348132.9656067,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348133.0067308,-122.3973160,37.7927172,4.9660000
MsgID.LOCAL_VELOCITY,1527348133.0067308,4.9900000,1.9800000,-0.1400000
MsgID.LOCAL_POSITION,1527348133.0075433,26.3124905,12.2045126,-4.9661064
MsgID.LOCAL_VELOCITY,1527348133.0075433,4.9977746,1.9837265,-0.1424599
MsgID.GLOBAL_POSITION,1527348133.2242651,-122.3973127,37.7927288,4.9720000
MsgID.LOCAL_VELOCITY,1527348133.2242651,5.0000000,1.7100000,-0.0800000
MsgID.LOCAL_POSITION,1527348133.2281995,27.5936146,12.4979849,-4.9723825
MsgID.LOCAL_VELOCITY,1527348133.2281995,5.0055122,1.7120559,-0.0849338
MsgID.GLOBAL_POSITION,1527348133.4749255,-122.3973080,37.7927378,4.9650000
MsgID.LOCAL_VELOCITY,1527348133.4749255,3.6500000,1.2500000,-0.0100000
MsgID.LOCAL_POSITION,1527348133.4790859,28.5937691,12.9142504,-4.9657974
MsgID.LOCAL_VELOCITY,1527348133.4790859,3.6544285,1.2552818,-0.0180749
MsgID.GLOBAL_POSITION,1527348133.7241006,-122.3973035,37.7927458,4.9650000
MsgID.LOCAL_VELOCITY,1527348133.7241006,3.0000000,1.1900000,-0.0800000
MsgID.LOCAL_POSITION,1527348133.7668216,29.4919968,13.3155680,-4.9655523
MsgID.LOCAL_VELOCITY,1527348133.7668216,3.0032446,1.1917930,-0.0862203
MsgID.STATE,1527348133.9654322,True,True
MsgID.GLOBAL_HOME,1527348133.9660141,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348134.0067248,-122.3972995,37.7927541,4.9680000
MsgID.LOCAL_VELOCITY,1527348134.0067248,4.2400000,1.5700000,-0.0700000
MsgID.LOCAL_POSITION,1527348134.0071511,30.4127731,13.6682539,-4.9689379
MsgID.LOCAL_VELOCITY,1527348134.0071511,4.2436357,1.5779836,-0.0701182
MsgID.GLOBAL_POSITION,1527348134.2247298,-122.3972945,37.7927646,4.9700000
MsgID.LOCAL_VELOCITY,1527348134.2247298,5.1400000,1.8800000,-0.0400000
MsgID.LOCAL_POSITION,1527348134.2295210,31.5708847,14.1088276,-4.9709044
MsgID.LOCAL_VELOCITY,1527348134.2295210,5.1492643,1.8804905,-0.0457226
MsgID.GLOBAL_POSITION,1527348134.4743500,-122.3972876,37.7927766,4.9680000
MsgID.LOCAL_VELOCITY,1527348134.4743500,4.7800000,1.7000000,-0.0400000
MsgID.LOCAL_POSITION,1527348134.4781027,32.9115524,14.7226839,-4.9682045
MsgID.LOCAL_VELOCITY,1527348134.4781027,4.7853460,1.7068708,-0.0442288
MsgID.GLOBAL_POSITION,1527348134.7243133,-122.3972836,37.7927844,4.9770000
MsgID.LOCAL_VELOCITY,1527348134.7243133,3.2700000,1.1000000,-0.0500000
MsgID.LOCAL_POSITION,1527348134.7284288,33.7712746,15.0766220,-4.9773703
MsgID.LOCAL_VELOCITY,1527348134.7284288,3.2712319,1.1032836,-0.0569480
MsgID.STATE,1527348134.9655094,True,True
MsgID.GLOBAL_HOME,1527348134.9676352,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348135.0111182,-122.3972826,37.7927906,4.9800000
MsgID.LOCAL_VELOCITY,1527348135.0111182,2.5400000,0.3000000,0.0300000
MsgID.LOCAL_POSITION,1527348135.0116758,34.4625435,15.1697607,-4.9804082
MsgID.LOCAL_VELOCITY,1527348135.0116758,2.5477757,0.3041379,0.0376250
MsgID.GLOBAL_POSITION,1527348135.2243683,-122.3972830,37.7927970,4.9800000
MsgID.LOCAL_VELOCITY,1527348135.2243683,3.1700000,-0.7800000,0.0600000
MsgID.LOCAL_POSITION,1527348135.2286308,35.1795998,15.1343679,-4.9800868
MsgID.LOCAL_VELOCITY,1527348135.2286308,3.1751714,-0.7863165,0.0641203
MsgID.GLOBAL_POSITION,1527348135.4755361,-122.3972857,37.7928055,4.9850000
MsgID.LOCAL_VELOCITY,1527348135.4755361,3.5900000,-1.8800000,0.0700000
MsgID.LOCAL_POSITION,1527348135.4794276,36.1187782,14.8896694,-4.9855227
MsgID.LOCAL_VELOCITY,1527348135.4794276,3.5940595,-1.8854210,0.0794726
MsgID.GLOBAL_POSITION,1527348135.7256632,-122.3972938,37.7928133,4.9880000
MsgID.LOCAL_VELOCITY,1527348135.7256632,3.8700000,-2.8800000,0.0900000
MsgID.LOCAL_POSITION,1527348135.7307491,37.0061302,14.1527872,-4.9885817
MsgID.LOCAL_VELOCITY,1527348135.7307491,3.8834109,-2.9119687,0.1023052
MsgID.STATE,1527348135.9660118,True,True
MsgID.GLOBAL_HOME,1527348135.9680638,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527348136.0108342,-122.3973045,37.7928222,4.9970000
MsgID.LOCAL_VELOCITY,1527348136.0108342,4.1900000,-3.9000000,0.1100000
MsgID.LOCAL_POSITION,1527348136.0111084,37.9710960,13.2228584,-4.9971242
MsgID.LOCAL_VELOCITY,1527348136.0111084,4.1972609,-3.9009957,0.1101600
MsgID.GLOBAL_POSITION,1527348136.2261875,-122.3973164,37.7928341,4.9960000
MsgID.LOCAL_VELOCITY,1527348136.2261875,4.4900000,-4.7800000,0.1800000
MsgID.LOCAL_POSITION,1527348136.2304657,39.3022957,12.1639099,-4.9967375
