MsgID.GLOBAL_POSITION,1527349260.0141501,-122.3974515,37.7924786,0.1260000
MsgID.LOCAL_VELOCITY,1527349260.0141501,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0146441,-0.2001855,0.1579351,-0.1262251
MsgID.LOCAL_VELOCITY,1527349260.0146441,0.0000023,0.0000075,0.0000138
MsgID.STATE,1527349260.0150812,True,True
MsgID.GLOBAL_HOME,1527349260.0153050,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349260.0154436,-122.3974519,37.7924801,0.1610000
MsgID.LOCAL_VELOCITY,1527349260.0154436,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1527349260.0156245,-0.0302040,0.1234750,-0.1610456
MsgID.LOCAL_VELOCITY,1527349260.0156245,0.0000226,-0.0000134,0.0000223
MsgID.GLOBAL_POSITION,1527349260.1595988,-122.3974514,37.7924800,0.2790000
MsgID.LOCAL_VELOCITY,1527349260.1595988,0.0000000,0.0000000,-1.2200000
MsgID.LOCAL_POSITION,1527349260.1615179,-0.0453687,0.1624288,-0.2799035
MsgID.LOCAL_VELOCITY,1527349260.1615179,-0.0003053,-0.0002526,-1.2297565
MsgID.GLOBAL_POSITION,1527349260.4092245,-122.3974507,37.7924798,0.8750000
MsgID.LOCAL_VELOCITY,1527349260.4092245,0.0000000,0.0000000,-3.2500000
MsgID.LOCAL_POSITION,1527349260.4114506,-0.0659627,0.2313331,-0.8752038
MsgID.LOCAL_VELOCITY,1527349260.4114506,0.0087549,0.0004169,-3.2593198
MsgID.GLOBAL_POSITION,1527349260.6592298,-122.3974484,37.7924812,1.8180000
MsgID.LOCAL_VELOCITY,1527349260.6592298,0.0100000,-0.0100000,-4.0600000
MsgID.LOCAL_POSITION,1527349260.6613307,0.0910289,0.4317815,-1.8187622
MsgID.LOCAL_VELOCITY,1527349260.6613307,0.0151648,-0.0113933,-4.0600386
MsgID.STATE,1527349260.9057531,True,True
MsgID.GLOBAL_HOME,1527349260.9059412,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349260.9105544,-122.3974482,37.7924799,2.8770000
MsgID.LOCAL_VELOCITY,1527349260.9105544,0.0000000,-0.0300000,-4.3100000
MsgID.LOCAL_POSITION,1527349260.9507594,-0.0529075,0.4481290,-2.8774340
MsgID.LOCAL_VELOCITY,1527349260.9507594,-0.0020838,-0.0349366,-4.3142533
MsgID.GLOBAL_POSITION,1527349261.1612031,-122.3974494,37.7924792,3.9490000
MsgID.LOCAL_VELOCITY,1527349261.1612031,0.0000000,-0.0400000,-4.3800000
MsgID.LOCAL_POSITION,1527349261.1633193,-0.1394221,0.3430064,-3.9495459
MsgID.LOCAL_VELOCITY,1527349261.1633193,0.0000615,-0.0460113,-4.3806753
MsgID.GLOBAL_POSITION,1527349261.4113674,-122.3974504,37.7924811,4.9870000
MsgID.LOCAL_VELOCITY,1527349261.4113674,0.0100000,-0.0400000,-3.4400000
MsgID.LOCAL_POSITION,1527349261.4136071,0.0753279,0.2509261,-4.9872394
MsgID.LOCAL_VELOCITY,1527349261.4136071,0.0122810,-0.0428075,-3.4435813
MsgID.GLOBAL_POSITION,1527349261.6618147,-122.3974501,37.7924799,5.4800000
MsgID.LOCAL_VELOCITY,1527349261.6618147,0.0100000,-0.0400000,-0.8800000
MsgID.LOCAL_POSITION,1527349261.7026591,-0.0569559,0.2815303,-5.4808664
MsgID.LOCAL_VELOCITY,1527349261.7026591,0.0115441,-0.0402391,-0.8827384
MsgID.STATE,1527349261.9056611,True,True
MsgID.GLOBAL_HOME,1527349261.9067223,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1527349261.9465964,-122.3974514,37.7924784,5.3540000
MsgID.LOCAL_VELOCITY,1527349261.9465964,0.0500000,-0.0300000,1.4000000
MsgID.LOCAL_POSITION,1527349261.9467874,-0.2232588,0.1608294,-5.3548360
MsgID.LOCAL_VELOCITY,1527349261.9467874,0.0582553,-0.0398064,1.4059749
MsgID.GLOBAL_POSITION,1527349262.1614592,-122.3974497,37.7924808,4.9020000
MsgID.LOCAL_VELOCITY,1527349262.1614592,1.4800000,-0.0700000,1.2600000
MsgID.LOCAL_POSITION,1527349262.1641026,0.0389789,0.3195767,-4.9024663
MsgID.LOCAL_VELOCITY,1527349262.1641026,1.4890170,-0.0738277,1.2655696
